route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,88____:049::8896735:8896305:5:1913:20220227,Menin,11000,,1,,1
2,000002,88____:049::8892007:8895208:10:735:20220313,Zottegem,11000,,2,,1
3,000003,88____:049::8895208:8895505:3:2415:20220318,Grammont,11000,,3,,1
4,000004,88____:049::8893542:8892007:6:51:20220305,Gand-Saint-Pierre,11000,,4,,1
5,000005,88____:049::8896008:8896925:2:600:20220408,Ingelmunster,11000,,5,,1
6,000006,88____:049::8891009:8891702:2:41:20220326,Ostende,11000,,6,,1
7,000007,88____:049::8892601:8896008:4:2422:20220401,Courtrai,11000,,7,,1
8,000008,88____:049::8892007:8892601:7:2408:20220409,Audenarde,11000,,8,,1
8,000009,88____:049::8892007:8892601:7:2329:20220410,Audenarde,11000,,9,,1
2,000002,88____:049::8892007:8895208:10:835:20220313,Zottegem,11001,,10,,1
6,000010,88____:049::8891009:8891702:2:41:20220319,Ostende,11001,,11,,1
5,000005,88____:049::8896925:8896008:2:2410:20220408,Courtrai,11001,,12,,1
6,000011,88____:049::8891009:8891702:2:159:20220325,Ostende,11001,,13,,1
9,000012,88____:049::8895802:8895505:10:719:20220327,Grammont,11001,,14,,1
10,000013,88____:049::8895208:8892601:4:59:20220402,Audenarde,11001,,15,,1
2,000002,88____:049::8892007:8895208:10:935:20220313,Zottegem,11002,,16,,1
6,000010,88____:049::8891009:8891702:2:159:20220319,Ostende,11002,,17,,1
11,000005,88____:049::8896388:8896008:2:446:20220408,Courtrai,11002,,18,,1
6,000014,88____:049::8891009:8891702:2:212:20220326,Ostende,11002,,19,,1
9,000015,88____:049::8895802:8895505:10:819:20220327,Grammont,11002,,20,,1
12,000007,88____:049::8892007:8896008:6:2516:20220401,Courtrai,11002,,21,,1
2,000002,88____:049::8892007:8895208:10:1035:20220313,Zottegem,11003,,22,,1
2,000016,88____:049::8892007:8895208:10:735:20220320,Zottegem,11003,,23,,1
11,000005,88____:049::8896388:8896008:2:546:20220408,Courtrai,11003,,24,,1
13,000003,88____:049::8895802:8892601:12:2530:20220318,Audenarde,11003,,25,,1
9,000012,88____:049::8895802:8895505:10:919:20220327,Grammont,11003,,26,,1
6,000013,88____:049::8891009:8891702:2:41:20220402,Ostende,11003,,27,,1
2,000002,88____:049::8892007:8895208:10:1135:20220313,Zottegem,11004,,28,,1
2,000016,88____:049::8892007:8895208:10:835:20220320,Zottegem,11004,,29,,1
11,000005,88____:049::8896388:8896008:2:646:20220408,Courtrai,11004,,30,,1
9,000012,88____:049::8895802:8895505:10:1019:20220327,Grammont,11004,,31,,1
6,000013,88____:049::8891009:8891702:2:159:20220402,Ostende,11004,,32,,1
1,000017,88____:049::8896305:8896735:5:841:20220227,Poperinge,11005,,33,,1
14,000018,88____:049::8895000:8895802:3:643:20220306,Denderleeuw,11005,,34,,1
2,000002,88____:049::8892007:8895208:10:1235:20220313,Zottegem,11005,,35,,1
2,000016,88____:049::8892007:8895208:10:935:20220320,Zottegem,11005,,36,,1
15,000019,88____:049::8892205:8896008:5:800:20220410,Courtrai,11005,,37,,1
11,000005,88____:049::8896388:8896008:2:746:20220408,Courtrai,11005,,38,,1
3,000020,88____:049::8895208:8895505:3:2415:20220324,Grammont,11005,,39,,1
9,000012,88____:049::8895802:8895505:10:1119:20220327,Grammont,11005,,40,,1
1,000017,88____:049::8896305:8896735:5:941:20220227,Poperinge,11006,,41,,1
14,000018,88____:049::8895000:8895802:3:743:20220306,Denderleeuw,11006,,42,,1
2,000002,88____:049::8892007:8895208:10:1335:20220313,Zottegem,11006,,43,,1
2,000016,88____:049::8892007:8895208:10:1035:20220320,Zottegem,11006,,44,,1
15,000019,88____:049::8892205:8896008:5:845:20220410,Courtrai,11006,,45,,1
11,000005,88____:049::8896388:8896008:2:846:20220408,Courtrai,11006,,46,,1
9,000012,88____:049::8895802:8895505:10:1219:20220327,Grammont,11006,,47,,1
1,000017,88____:049::8896305:8896735:5:1041:20220227,Poperinge,11007,,48,,1
14,000018,88____:049::8895000:8895802:3:843:20220306,Denderleeuw,11007,,49,,1
2,000002,88____:049::8892007:8895208:10:1435:20220313,Zottegem,11007,,50,,1
2,000016,88____:049::8892007:8895208:10:1135:20220320,Zottegem,11007,,51,,1
15,000019,88____:049::8892205:8896008:5:945:20220410,Courtrai,11007,,52,,1
11,000005,88____:049::8896388:8896008:2:946:20220408,Courtrai,11007,,53,,1
9,000012,88____:049::8895802:8895505:10:1319:20220327,Grammont,11007,,54,,1
1,000017,88____:049::8896305:8896735:5:1141:20220227,Poperinge,11008,,55,,1
14,000018,88____:049::8895000:8895802:3:943:20220306,Denderleeuw,11008,,56,,1
