route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,BUS,Menin -- Poperinge,,700,,,
10,NMBS/SNCB,BUS,Audenarde -- Zottegem,,700,,,
100,NMBS/SNCB,BUS,Hal -- Mons,,700,,,
101,NMBS/SNCB,BUS,Marchienne-Au-Pont -- Pieton,,700,,,
102,NMBS/SNCB,BUS,Hal -- La Louviere-Sud,,700,,,
103,NMBS/SNCB,BUS,Enghien -- Grammont,,700,,,
104,NMBS/SNCB,BUS,La Louviere- Centre -- La Louviere-Sud,,700,,,
105,NMBS/SNCB,BUS,La Louviere-Sud -- Binche,,700,,,
106,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Waregem,,700,,,
107,NMBS/SNCB,IC,Termonde -- Lokeren,,103,,,
108,NMBS/SNCB,IC,Mons -- Mouscron,,103,,,
109,NMBS/SNCB,BUS,Chatelet -- Tamines,,700,,,
11,NMBS/SNCB,BUS,Courtrai -- Bissegem,,700,,,
110,NMBS/SNCB,BUS,Troisvierges (l) -- Gouvy,,700,,,
111,NMBS/SNCB,BUS,Lille Flandres(f) -- Tournai,,700,,,
112,NMBS/SNCB,IC,Hasselt -- Genk,,103,,,
113,NMBS/SNCB,L,Namur -- Charleroi-Sud,,100,,,
114,NMBS/SNCB,L,Ottignies -- Fleurus,,100,,,
115,NMBS/SNCB,L,Mons -- Quevy,,100,,,
116,NMBS/SNCB,IC,Gand-Saint-Pierre -- Poperinge,,103,,,
117,NMBS/SNCB,IC,Gand-Saint-Pierre -- Courtrai,,103,,,
118,NMBS/SNCB,IC,Bruges -- Knokke,,103,,,
119,NMBS/SNCB,L,Jette -- Bruxelles-Midi,,100,,,
12,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Courtrai,,700,,,
120,NMBS/SNCB,IC,Namur -- Tamines,,103,,,
121,NMBS/SNCB,L,Arlon -- Athus,,100,,,
122,NMBS/SNCB,L,Namur -- Dinant,,100,,,
123,NMBS/SNCB,IC,Gand-Saint-Pierre -- Alost,,103,,,
124,NMBS/SNCB,IC,Bissegem -- Poperinge,,103,,,
125,NMBS/SNCB,L,De Pinte -- Renaix,,100,,,
126,NMBS/SNCB,L,Schaerbeek -- Grammont,,100,,,
127,NMBS/SNCB,IC,Menin -- Poperinge,,103,,,
128,NMBS/SNCB,IC,Namur -- Dinant,,103,,,
129,NMBS/SNCB,IC,Deinze -- La Panne,,103,,,
13,NMBS/SNCB,BUS,Audenarde -- Denderleeuw,,700,,,
130,NMBS/SNCB,IC,Schellebelle -- Denderleeuw,,103,,,
131,NMBS/SNCB,IC,Waregem -- Poperinge,,103,,,
132,NMBS/SNCB,IC,Courtrai -- Waregem,,103,,,
133,NMBS/SNCB,IC,Louvain -- Gand-Saint-Pierre,,103,,,
134,NMBS/SNCB,P,Sint-Joris-Weert -- Gand-Saint-Pierre,,103,,,
135,NMBS/SNCB,IC,Tielt -- La Panne,,103,,,
136,NMBS/SNCB,IC,Ostende -- Lichtervelde,,103,,,
137,NMBS/SNCB,EXTRA,Denderleeuw -- Courtrai,,103,,,
138,NMBS/SNCB,IC,Bruges -- Lichtervelde,,103,,,
139,NMBS/SNCB,IC,Anvers-Central -- Gand-Saint-Pierre,,103,,,
14,NMBS/SNCB,BUS,Alost -- Denderleeuw,,700,,,
140,NMBS/SNCB,L,Puurs -- Hoboken-Polder,,100,,,
141,NMBS/SNCB,IC,Schaerbeek -- Louvain,,103,,,
142,NMBS/SNCB,IC,Anvers-Central -- Louvain,,103,,,
143,NMBS/SNCB,L,Bruxelles-Nord -- Louvain,,100,,,
144,NMBS/SNCB,IC,Anvers-Central -- Mol,,103,,,
145,NMBS/SNCB,IC,Anvers-Central -- Lierre,,103,,,
146,NMBS/SNCB,IC,Liege-Guillemins -- Liers,,103,,,
147,NMBS/SNCB,IC,Bruxelles-Nord -- Ostende,,103,,,
148,NMBS/SNCB,IC,Saint-Nicolas -- Courtrai,,103,,,
149,NMBS/SNCB,L,Anvers-Central -- Essen,,100,,,
15,NMBS/SNCB,BUS,Lichtervelde -- Courtrai,,700,,,
150,NMBS/SNCB,L,Liege-Guillemins -- Liers,,100,,,
151,NMBS/SNCB,L,Namur -- Tamines,,100,,,
152,NMBS/SNCB,L,Libramont -- Bertrix,,100,,,
153,NMBS/SNCB,IC,Liers -- Huy,,103,,,
154,NMBS/SNCB,IC,Tamines -- Mons,,103,,,
155,NMBS/SNCB,IC,Tamines -- Mouscron,,103,,,
156,NMBS/SNCB,L,Liege-Guillemins -- Huy,,100,,,
157,NMBS/SNCB,IC,Enghien -- Tournai,,103,,,
158,NMBS/SNCB,L,Enghien -- Denderleeuw,,100,,,
159,NMBS/SNCB,IC,Mons -- Tournai,,103,,,
16,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Grammont,,700,,,
160,NMBS/SNCB,IC,Binche -- Braine-Le-Comte,,103,,,
161,NMBS/SNCB,IC,Mons -- Soignies,,103,,,
162,NMBS/SNCB,IC,Charleroi-Sud -- Mouscron,,103,,,
163,NMBS/SNCB,IC,Mons -- Courtrai,,103,,,
164,NMBS/SNCB,IC,Tournai -- Mouscron,,103,,,
165,NMBS/SNCB,P,Schaerbeek -- Charleroi-Sud,,103,,,
166,NMBS/SNCB,IC,La Louviere-Sud -- Braine-Le-Comte,,103,,,
167,NMBS/SNCB,IC,Mons -- Braine-Le-Comte,,103,,,
168,NMBS/SNCB,P,Charleroi-Sud -- Braine-Le-Comte,,103,,,
169,NMBS/SNCB,IC,Nivelles -- Luttre,,103,,,
17,NMBS/SNCB,BUS,Anvers-Central -- Saint-Nicolas,,700,,,
170,NMBS/SNCB,IC,Nivelles -- Charleroi-Sud,,103,,,
171,NMBS/SNCB,L,Nivelles -- Charleroi-Sud,,100,,,
172,NMBS/SNCB,L,Enghien -- Grammont,,100,,,
173,NMBS/SNCB,IC,Bruxelles-Midi -- Enghien,,103,,,
174,NMBS/SNCB,IC,Charleroi-Sud -- Tournai,,103,,,
175,NMBS/SNCB,S34,Anvers-Central -- Saint-Nicolas,,100,,,
176,NMBS/SNCB,IC,Genk -- Bruges,,103,,,
177,NMBS/SNCB,IC,Tongres -- Bruges,,103,,,
178,NMBS/SNCB,IC,Genk -- Blankenberge,,103,,,
179,NMBS/SNCB,IC,Tongres -- Blankenberge,,103,,,
18,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Lokeren,,700,,,
180,NMBS/SNCB,IC,Hasselt -- Blankenberge,,103,,,
181,NMBS/SNCB,IC,Bruges -- Blankenberge,,103,,,
182,NMBS/SNCB,IC,Hasselt -- Tongres,,103,,,
183,NMBS/SNCB,S6,Schaerbeek -- Grammont,,100,,,
184,NMBS/SNCB,S6,Schaerbeek -- Denderleeuw,,100,,,
185,NMBS/SNCB,S6,Enghien -- Denderleeuw,,100,,,
186,NMBS/SNCB,S6,Grammont -- Denderleeuw,,100,,,
187,NMBS/SNCB,S6,Enghien -- Grammont,,100,,,
188,NMBS/SNCB,L,Audenarde -- Zottegem,,100,,,
189,NMBS/SNCB,L,Zottegem -- Courtrai,,100,,,
19,NMBS/SNCB,BUS,Bruges -- Lichtervelde,,700,,,
190,NMBS/SNCB,L,Audenarde -- Courtrai,,100,,,
191,NMBS/SNCB,IC,Liege-Guillemins -- Mons,,103,,,
192,NMBS/SNCB,IC,Liege-Guillemins -- Quievrain,,103,,,
193,NMBS/SNCB,IC,Ypres -- Poperinge,,103,,,
194,NMBS/SNCB,IC,Louvain -- Tielt,,103,,,
195,NMBS/SNCB,L,Braine-L Alleud -- Brussels Airport - Zaventem,,100,,,
196,NMBS/SNCB,IC,Anvers-Central -- Noorderkempen (brecht),,103,,,
197,NMBS/SNCB,L,Anvers-Central -- Puurs,,100,,,
198,NMBS/SNCB,L,Roosendaal (nl) -- Kapellen,,100,,,
199,NMBS/SNCB,IC,Saint-Ghislain -- Quievrain,,103,,,
2,NMBS/SNCB,BUS,Lichtervelde -- La Panne,,700,,,
20,NMBS/SNCB,BUS,Termonde -- Lokeren,,700,,,
200,NMBS/SNCB,EXTRA,Anvers-Central -- Noorderkempen (brecht),,103,,,
201,NMBS/SNCB,L,Saint-Nicolas -- Tamise,,100,,,
202,NMBS/SNCB,IC,Genk -- Landen,,103,,,
203,NMBS/SNCB,L,Malines -- Puurs,,100,,,
204,NMBS/SNCB,IC,Amsterdam Cs (nl) -- Anvers-Central,,103,,,
205,NMBS/SNCB,IC,Louvain -- Landen,,103,,,
206,NMBS/SNCB,IC,Manage -- Tournai,,103,,,
207,NMBS/SNCB,IC,Liers -- Luttre,,103,,,
208,NMBS/SNCB,IC,Landen -- Gand-Saint-Pierre,,103,,,
209,NMBS/SNCB,L,Deinze -- Courtrai,,100,,,
21,NMBS/SNCB,BUS,Malines -- Termonde,,700,,,
210,NMBS/SNCB,L,Malines -- Gand-Saint-Pierre,,100,,,
211,NMBS/SNCB,IC,Gand-Saint-Pierre -- Lichtervelde,,103,,,
212,NMBS/SNCB,EXTRA,Bruxelles-Midi -- Louvain,,103,,,
213,NMBS/SNCB,L,Hasselt -- Liege-Guillemins,,100,,,
214,NMBS/SNCB,IC,Anvers-Central -- Essen,,103,,,
215,NMBS/SNCB,IC,La Louviere-Sud -- Binche,,103,,,
216,NMBS/SNCB,L,Termonde -- Courtrai,,100,,,
217,NMBS/SNCB,IC,Bruxelles-Nord -- Charleroi-Sud,,103,,,
218,NMBS/SNCB,IC,Liege-Guillemins -- Saint-Ghislain,,103,,,
219,NMBS/SNCB,S1,Bruxelles-Midi -- Anvers-Central,,100,,,
22,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Audenarde,,700,,,
220,NMBS/SNCB,S1,Nivelles -- Anvers-Central,,100,,,
221,NMBS/SNCB,P,Bruxelles-Midi -- Rochefort-Jemelle,,103,,,
222,NMBS/SNCB,S1,Schaerbeek -- Nivelles,,100,,,
